id,discord_user_id,mint,side,quote_price,effective_price,qty_tokens,amount_sol,realized_pnl,marketcap_usd,ts
znkbafcvnpmhif5x10,153690406394003456,CrrznSoJqQie3xnhW6P3Pi9oLUNUbayv9hKFryPapump,BUY,0.000006515,0.000006567217724999999,22840.7228572584,0.15,0,6515.12,1762130771316
gjft1rpnk95mhif5l39,153690406394003456,AXGT56y2TAr6YudGxkCCPePz9uUhWPi46BjpeaYjpump,SELL,0.00001972,0.000019562535800000003,7546.009605225075,0.14761908304935942,-0.0023809169506405796,19727.28,1762130755845
v8yt2me8exmhif5bzf,153690406394003456,AXGT56y2TAr6YudGxkCCPePz9uUhWPi46BjpeaYjpump,BUY,0.00001972,0.0000198780558,7546.009605225075,0.15,0,19727.28,1762130744043
t24yrffrhbmhif4yu4,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,BUY,0.00002527,0.000025472539049999993,5888.694476257954,0.15,0,25279.63,1762130727004
g4zy75sv0jomhif4qhr,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,SELL,0.00002689,0.00002667528335,5533.927460581573,0.1476190830493594,-0.002380916950640583,26896.92,1762130716191
afcx4dy3tgmhif4mb4,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,BUY,0.00002689,0.000027105523349999993,5533.927460581573,0.15,0,26896.92,1762130710768
ld4oakj6j78mhif4dks,153690406394003456,9Esk3KnfkjXbUcXHFGRFt7azJhiDVs1g4mPVqvuppump,SELL,0.00001389,0.000013779088350000001,10713.269216345463,0.14761908304935942,-0.002380916950640584,13890.26,1762130699452
vy04mpny13pmhif3zgb,153690406394003456,9Esk3KnfkjXbUcXHFGRFt7azJhiDVs1g4mPVqvuppump,BUY,0.00001389,0.000014001328349999998,10713.269216345463,0.15,0,13890.26,1762130681147
cgr9h41745qmhif3vdv,153690406394003456,9Esk3KnfkjXbUcXHFGRFt7azJhiDVs1g4mPVqvuppump,SELL,0.00001389,0.000013779088350000001,10713.269216345463,0.14761908304935942,-0.002380916950640584,13890.26,1762130675875
jkd82zmy38emhif3smu,153690406394003456,9Esk3KnfkjXbUcXHFGRFt7azJhiDVs1g4mPVqvuppump,BUY,0.00001389,0.000014001328349999998,10713.269216345463,0.15,0,13890.26,1762130672310
9cf0lkbmfhamhif2ubf,153690406394003456,Hi2xbfKgD7Ae5wfbzRt6zLdcwcc6MhXswoXoAqCQpump,SELL,0.00000971,0.000009632465650000001,16541.497267123,0.15933540422513118,0.00933540422513118,9710.66,1762130627835
qb8pbidnb1cmhif2jci,153690406394003456,Hi2xbfKgD7Ae5wfbzRt6zLdcwcc6MhXswoXoAqCQpump,BUY,0.000008996,0.000009068102939999998,16541.497267123,0.15,0,8996.62,1762130613618
s0yj075hggmmhif1ttb,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,SELL,0.00001569,0.000015564715350000002,6247.158245803464,0.09723523984233626,-0.0027647601576637573,15693.04,1762130580527
xt511kwde7cmhif1h49,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,BUY,0.00001588,0.000016007278199999998,6247.158245803464,0.1,0,15883.17,1762130564073
1k8i2aa6jbdmhieqf2i,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,SELL,0.00002593,0.000025722948950000002,13041.832551712401,0.33547439294214637,0.18547439294214638,1762130048202
q6x4p484muimhiepx5r,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,BUY,0.00001141,0.000011501451149999997,13041.832551712401,0.15,0,1762130024991
zzmub4za0lmhiepqh4,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,SELL,0.00001141,0.000011318891149999999,4347.277517237468,0.04920636101645314,-0.0007936389835468625,1762130016328
90odmak73omhiepdtw,153690406394003456,GwZPvxg9C2qkmC1ngaArNf51oePmdp39vZuHaAhxpump,BUY,0.00001141,0.000011501451149999997,4347.277517237468,0.05,0,1762129999940
j5dtrvr1mhamhieozo4,153690406394003456,BDffXcFXkZkYJXCeYVoPuKTkbK2w2cQ2dNaB9wA5BAGS,SELL,0.000007327,0.000007268493905000001,6769.815268415382,0.04920636101645315,-0.0007936389835468516,1762129981588
xf5jk5yoe8mhieoi06,153690406394003456,BDffXcFXkZkYJXCeYVoPuKTkbK2w2cQ2dNaB9wA5BAGS,BUY,0.000007327,0.000007385725904999998,6769.815268415382,0.05,0,1762129958694
